"Jugador","Posicion","from","Tipo","caso","to","equipo","id","ex_from","ex_to","B_from","B_to","O_from","O_to","from2","to2"
"Kevin Vásquez","Mediocampista","Santiago Wanderers","Préstamo","Bajas","Unión La Calera","Santiago Wanderers",12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Santiago Wanderers","Primera B"
"Jimmy Cisterna","Mediocampista","Santiago Wanderers","Préstamo","Bajas","NA","Santiago Wanderers",12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Santiago Wanderers","Otros"
"David Terans","Mediocampista Ofensivo","Santiago Wanderers","Fin de préstamo","Bajas","Rentistas","Santiago Wanderers",12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago Wanderers","Extranjero"
"Luis Valenzuela","Mediocampista Ofensivo","Santiago Wanderers","Fin de Contrato","Bajas","NA","Santiago Wanderers",12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Santiago Wanderers","Otros"
"Rodrigo Pastorini","Delantero","Santiago Wanderers","Fin de préstamo","Bajas","Murciélagos","Santiago Wanderers",12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago Wanderers","Extranjero"
"Jonathan Charquero","Delantero","Santiago Wanderers","Fin de préstamo","Bajas","Torque","Santiago Wanderers",12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Santiago Wanderers","Extranjero"
"Rubén Farfán","Delantero","Santiago Wanderers","Fin de préstamo","Bajas","Deportes Temuco","Santiago Wanderers",12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Santiago Wanderers","Deportes Temuco"
"Javier Parraguez","Delantero","Santiago Wanderers","Fin de préstamo","Bajas","Huachipato","Santiago Wanderers",12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Santiago Wanderers","Huachipato"
"José Luis Muñoz Muñoz","Delantero","Santiago Wanderers","Fin de préstamo","Bajas","NA","Santiago Wanderers",12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Santiago Wanderers","Otros"
"José Quezada","Arquero","Magallanes","Libre","Altas","Unión Española","Unión Española",13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Unión Española"
"Diego Sosa","Defensa","Tigre","Traspaso","Altas","Unión Española","Unión Española",13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Unión Española"
"Juan Pablo Gómez","Defensa","San Luis","Libre","Altas","Unión Española","Unión Española",13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"San Luis","Unión Española"
"Ángelo Pizzorno","Defensa","Cerro","Traspaso","Altas","Unión Española","Unión Española",13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Unión Española"
"Christopher Ross","Defensa","Deportes Antofagasta","Vuelve de Préstamo","Altas","Unión Española","Unión Española",13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Antofagasta","Unión Española"
"Israel Poblete","Mediocampista","Cobresal","Préstamo","Altas","Unión Española","Unión Española",13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Unión Española"
"Ramiro Gonzalez Hernandez","Mediocampista","Instituto Atlético Central Córdoba","Libre","Altas","Unión Española","Unión Española",13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Unión Española"
"Guillermo Hauché","Mediocampista","Racing Club","Libre","Altas","Unión Española","Unión Española",13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Unión Española"
"Santiago Gallucci","Mediocampista","Douglas Haig","Libre","Altas","Unión Española","Unión Española",13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Unión Española"
"Carlos Muñoz","Delantero","Talleres Córdoba","Libre","Altas","Unión Española","Unión Española",13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Unión Española"
"Gustavo Canales","Delantero","Botafogo","Libre","Altas","Unión Española","Unión Española",13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Unión Española"
"Christian Bravo","Delantero","Universidad Católica","Préstamo (desde Granada)","Altas","Unión Española","Unión Española",13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad Católica","Unión Española"
"Marcelo Salinas","Arquero","Unión Española","Fin de contrato","Bajas","NA","Unión Española",13,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Unión Española","Otros"
"Lucas Domínguez","Defensa Central","Unión Española","Fin de contrato","Bajas","NA","Unión Española",13,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Unión Española","Otros"
"Nicolás Berardo","Defensa Central","Unión Española","Fin de contrato","Bajas","Coquimbo Unido","Unión Española",13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Unión Española","Primera B"
"Dagoberto Currimilla","Lateral Derecho","Unión Española","Fin de contrato","Bajas","Deportes Valdivia","Unión Española",13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Unión Española","Primera B"
"Fernando Cornejo","Defensa","Unión Española","","Bajas","Barnechea","Unión Española",13,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Unión Española","Otros"
"Felipe Seymour","Mediocampista","Unión Española","Fin de contrato","Bajas","Universidad de Chile","Unión Española",13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Unión Española","Universidad de Chile"
"Juan Gabriel Rivas","Volante","Unión Española","Fin de préstamo","Bajas","Unión de Santa Fe","Unión Española",13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Unión Española","Extranjero"
"Ángel Muñoz","Volante","Unión Española","","Bajas","NA","Unión Española",13,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Unión Española","Otros"
"Carlos Gómez","Volante","Unión Española","Fin de contrato","Bajas","Deportes Iquique","Unión Española",13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Unión Española","Deportes Iquique"
"Óscar Hernández","Volante","Unión Española","Fin de contrato","Bajas","Atlético de San Luis","Unión Española",13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Unión Española","Extranjero"
"Carlos Salom","Delantero","Unión Española","Fin de contrato","Bajas","Puebla","Unión Española",13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Unión Española","Extranjero"
"Diego Churin","Delantero","Unión Española","Fin de préstamo (con U. de Concepción)","Bajas","Cerro Porteño","Unión Española",13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Unión Española","Extranjero"
"Jason Flores","Delantero","Unión Española","Préstamo","Bajas","Deportes Antofagasta","Unión Española",13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Unión Española","Deportes Antofagasta"
"Fabián Saavedra","Delantero","Unión Española","Préstamo","Bajas","Cobresal","Unión Española",13,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Unión Española","Primera B"
"Branco Ampuero","Defensa","Deportes Antofagasta","Préstamo","Altas","Universidad Católica","Universidad Católica",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Antofagasta","Universidad Católica"
"Benjamín Vidal","Defensa","Palestino","Traspaso","Altas","Universidad Católica","Universidad Católica",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Palestino","Universidad Católica"
"Dino Agote","Defensa","Deportes Antofagasta","Retorno de Préstamo","Altas","Universidad Católica","Universidad Católica",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Antofagasta","Universidad Católica"
"Germán Voboril","Defensa","Newell's Old Boys","Libre","Altas","Universidad Católica","Universidad Católica",14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Universidad Católica"
"Luciano Aued","Mediocampista","Racing Club","Libre","Altas","Universidad Católica","Universidad Católica",14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Universidad Católica"
"Diego Rojas","Mediocampista","Everton","Retorno de cesión","Altas","Universidad Católica","Universidad Católica",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Everton","Universidad Católica"
"Diego Vallejos","Delantero","Audax Italiano","Traspaso","Altas","Universidad Católica","Universidad Católica",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Audax Italiano","Universidad Católica"
"Jeisson Vargas","Delantero","Estudiantes de La Plata","Préstamo","Altas","Universidad Católica","Universidad Católica",14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Universidad Católica"
"José Luis Muñoz","Delantero","Santiago Wanderers","Retorno de cesión","Altas","Universidad Católica","Universidad Católica",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Santiago Wanderers","Universidad Católica"
"Raimundo Rebolledo","Defensa","Universidad Católica","Préstamo","Bajas","Curicó Unido","Universidad Católica",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad Católica","Curicó Unido"
"Alfonso Parot","Defensa","Universidad Católica","Traspaso","Bajas","Rosario Central","Universidad Católica",14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Universidad Católica","Extranjero"
"Guillermo Maripán","Defensa","Universidad Católica","Traspaso","Bajas","Alavés","Universidad Católica",14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Universidad Católica","Extranjero"
"Jaime Carreño","Mediocampista","Universidad Católica","Préstamo","Bajas","Everton","Universidad Católica",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad Católica","Everton"
"Enzo Kalinski","Mediocampista","Universidad Católica","Fin de Contrato","Bajas","Club Tijuana","Universidad Católica",14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Universidad Católica","Extranjero"
"Roberto Gutiérrez","Delantero","Universidad Católica","Fin de contrato","Bajas","Palestino","Universidad Católica",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad Católica","Palestino"
"Christian Bravo","Delantero","Universidad Católica","Fin de Préstamo (con Granada)","Bajas","Unión Española","Universidad Católica",14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad Católica","Unión Española"
"Ricardo Noir","Delantero","Universidad Católica","Fin de Préstamo","Bajas","Racing Club","Universidad Católica",14,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Universidad Católica","Extranjero"
"Rodrigo Echeverría","Mediocampista","Everton","Regreso de Cesión","Altas","Universidad de Chile","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Everton","Universidad de Chile"
"Felipe Seymour","Mediocampista","Unión Española","Libre","Altas","Universidad de Chile","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Unión Española","Universidad de Chile"
"Rafael Caroca","Mediocampista","Deportes Iquique","Libre","Altas","Universidad de Chile","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Iquique","Universidad de Chile"
"Francisco Arancibia Silva","Delantero","Ohiggins","Traspaso","Altas","Universidad de Chile","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Ohiggins","Universidad de Chile"
"Martín Arenas Jara","Delantero","Villarreal Juvenil","Libre","Altas","Universidad de Chile","Universidad de Chile",15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Universidad de Chile"
"Isaac Díaz","Delantero","Sol de América","Traspaso","Altas","Universidad de Chile","Universidad de Chile",15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Universidad de Chile"
"Mauricio Pinilla","Delantero","Genoa","Traspaso","Altas","Universidad de Chile","Universidad de Chile",15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Universidad de Chile"
"Nelson Espinoza","Arquero","Universidad de Chile","Préstamo","Bajas","San Luis","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","San Luis"
"Bernardo Cerezo","Defensa central","Universidad de Chile","Préstamo","Bajas","Santiago Wanderers","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Santiago Wanderers"
"Diego García Medina","Defensa central","Universidad de Chile","Préstamo","Bajas","Rangers de Talca","Universidad de Chile",15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Universidad de Chile","Primera B"
"Nicolás Ramírez","Defensa central","Universidad de Chile","Préstamo","Bajas","Deportes Temuco","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Deportes Temuco"
"John Salas","Defensa central","Universidad de Chile","Préstamo","Bajas","Santa Cruz","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Universidad de Chile","Otros"
"Marcelo Jorquera","Lateral Izquierdo","Universidad de Chile","Fin de contrato","Bajas","Iberia","Universidad de Chile",15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Universidad de Chile","Primera B"
"Michael Contreras","Lateral Derecho","Universidad de Chile","Fin de contrato","Bajas","Cobreloa","Universidad de Chile",15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Universidad de Chile","Primera B"
"Franz Schultz","Mediocampista","Universidad de Chile","Préstamo","Bajas","Ohiggins","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Ohiggins"
"Sebastian Martinez","Mediocampista","Universidad de Chile","Préstamo","Bajas","Huachipato","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Huachipato"
"Danilo Catalán","Mediocampista","Universidad de Chile","Préstamo","Bajas","Deportes Valdivia","Universidad de Chile",15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Universidad de Chile","Primera B"
"Gonzalo Espinoza","Mediocampista","Universidad de Chile","Fin de contrato","Bajas","Kayserispor","Universidad de Chile",15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Extranjero"
"Bryan Cortés","Mediocampista","Universidad de Chile","Fin de contrato","Bajas","Deportes La Serena","Universidad de Chile",15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Universidad de Chile","Primera B"
"Lucas Ontivero","Mediocampista","Universidad de Chile","Fin de contrato","Bajas","Venados","Universidad de Chile",15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Extranjero"
"Juan Leiva","Mediocampista","Universidad de Chile","Fin de contrato","Bajas","Audax Italiano","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Audax Italiano"
"Rubén Farfán","Delantero","Universidad de Chile","Fin de contrato","Bajas","Deportes Temuco","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Deportes Temuco"
"Valentin Castellanos","Delantero","Universidad de Chile","Préstamo","Bajas","Torque","Universidad de Chile",15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Extranjero"
"Mathías Galdames","Delantero","Universidad de Chile","Préstamo","Bajas","Santa Cruz","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Universidad de Chile","Otros"
"Mathías Pinto","Delantero","Universidad de Chile","Préstamo","Bajas","San Marcos","Universidad de Chile",15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Universidad de Chile","Primera B"
"Bryan Taiva","Delantero","Universidad de Chile","Préstamo","Bajas","San Luis","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","San Luis"
"Felipe Pinilla","Delantero","Universidad de Chile","Préstamo","Bajas","Santiago Wanderers","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Santiago Wanderers"
"Mario Briceño","Delantero","Universidad de Chile","Préstamo","Bajas","Deportes Antofagasta","Universidad de Chile",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Deportes Antofagasta"
"Bruno Miranda","Delantero","Universidad de Chile","Préstamo","Bajas","D.C. United","Universidad de Chile",15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Extranjero"
"Felipe Mora","Delantero","Universidad de Chile","Traspaso","Bajas","Cruz Azul","Universidad de Chile",15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Universidad de Chile","Extranjero"
"Juan Pablo Andrade","Defensa","Independiente de Cauquenes","Fin de Contrato","Altas","Universidad de Concepción","Universidad de Concepción",16,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Otros","Universidad de Concepción"
"Hugo Droguett","Mediocampista","Deportes Antofagasta","Libre","Altas","Universidad de Concepción","Universidad de Concepción",16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Antofagasta","Universidad de Concepción"
"Cristián Amarilla","Mediocampista","Deportivo Español","Libre","Altas","Universidad de Concepción","Universidad de Concepción",16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Extranjero","Universidad de Concepción"
"Brayan Valdivia","Mediocampista","Unión San Felipe","","Altas","Universidad de Concepción","Universidad de Concepción",16,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Primera B","Universidad de Concepción"
"Carlos Escobar","Delantero","San Luis","","Altas","Universidad de Concepción","Universidad de Concepción",16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"San Luis","Universidad de Concepción"
"José Huentelaf","Delantero","Deportes Temuco","Fin de contrato","Altas","Universidad de Concepción","Universidad de Concepción",16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Deportes Temuco","Universidad de Concepción"
"Wálter Ponce","Delantero","Palestino","Préstamo","Altas","Universidad de Concepción","Universidad de Concepción",16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Palestino","Universidad de Concepción"
"Waldo Ponce","Defensa","Universidad de Concepción","Fin de Contrato","Bajas","NA","Universidad de Concepción",16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Universidad de Concepción","Otros"
"Alexis Machuca","Defensa","Universidad de Concepción","Fin de Contrato","Bajas","NA","Universidad de Concepción",16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Universidad de Concepción","Otros"
"Esteban Flores","Lateral","Universidad de Concepción","Fin de Contrato","Bajas","San Luis","Universidad de Concepción",16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Universidad de Concepción","San Luis"
"Renato González","Mediocampista","Universidad de Concepción","Fin de Contrato","Bajas","San Marcos de Arica","Universidad de Concepción",16,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Universidad de Concepción","Primera B"
"Jorge Luna","Mediocampista","Universidad de Concepción","Fin de Contrato","Bajas","NA","Universidad de Concepción",16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Universidad de Concepción","Otros"
"Giovanni Asken","Mediocampista","Universidad de Concepción","Fin de Contrato","Bajas","Iberia","Universidad de Concepción",16,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Universidad de Concepción","Primera B"
"Jorge Troncoso","Delantero","Universidad de Concepción","Fin de Contrato","Bajas","NA","Universidad de Concepción",16,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Universidad de Concepción","Otros"
