"Team","num_matches","total_minutes","total_goals","total_conceded_goals","total_xG","total_shot","total_on_target","total_on_target_outside_box","total_passes","total_passes_completed","total_losses","total_losses_low","total_losses_med","total_losses_high","total_offensive_duels","total_offensive_duels_won","total_passes_final_third","total_passes_final_third_completed","total_progressive_passes","total_progressive_passes_completed","total_smart_passes","total_smart_passes_completed","total_counterattack","total_counterattack_with_shot","total_crosses","total_crosses_won","total_against_shot","total_against_on_target","total_defensive_duels","total_defensive_duels_won","total_aerial_duels","total_aerial_duels_won","total_sliding_tackles","total_sliding_tackles_completed","total_interceptions","total_recoveries","total_recoveries_low","total_recoveries_med","total_recoveries_high","goals_p90","xG_p90","xG_goals_p90_ratio","conceded_goals_p90","shot_p90","xG_per_shot","on_target_acc","shots_on_target_outside_box_p90","avg_shot_distance","counterattack_p90","counterattack_with_shot_p90","passes_p90","avg_possesion","passes_acc","avg_pass_length","avg_passes_per_minute","avg_passes_per_possesion","passes_final_third_p90","passes_final_third_acc","progressive_passes_p90","progressive_passes_acc","smart_passes_p90","smart_passes_acc","losses_p90","losses_low_p90","losses_med_p90","losses_high_p90","offensive_duels_p90","offensive_duels_acc","interceptions_p90","recoveries_p90","recoveries_low_p90","recoveries_med_p90","recoveries_high_p90","crosses_p90","crosses_acc","shot_against_p90","against_on_target_acc","defensive_duels_p90","defensive_duels_acc","aerial_duels_p90","aerial_duels_acc","sliding_tackles_p90","sliding_tackles_acc","avg_ppda","code"
"__Chile's rival",10,939,16,14,12,99,37,40,3560,2946,898,194,337,367,713,439.12,432,289,665,475,81,34,28,13,99,24,133,46,647,144,379,152,57,13,412,654,319,250,85,1.53,1.15,1.33,1.34,9.49,0.12,37.37,3.83,19,2.68,1.25,341.21,43,82.75,21,17,4,41.41,66.9,63.74,71.43,7.76,41.98,86.07,18.59,32.3,35.18,68.34,61.59,39.49,62.68,30.58,23.96,8.15,9.49,24.24,12.75,34.59,62.01,22.26,36.33,40.11,5.46,22.81,14.13,"ac"
"Argentina",9,851,18,5,11.54,116,43,49,4350,3575,768,102,280,386,688,479.06,481,358,769,486,65,23,17,5,127,47,59,17,714,156,246,119,63,20,311,643,229,302,112,1.9,1.22,1.56,0.53,12.27,0.1,37.07,5.18,18,1.8,0.53,460.05,47,82.18,20,17,5,50.87,74.43,81.33,63.2,6.87,35.38,81.22,10.79,29.61,40.82,72.76,69.63,32.89,68,24.22,31.94,11.84,13.43,37.01,6.24,28.81,75.51,21.85,26.02,48.37,6.66,31.75,8.31,"ar"
"Bolivia",10,931,6,15,7.09,75,20,46,3198,2581,979,250,350,379,602,474.73,413,256,569,368,40,15,19,3,84,26,160,51,774,145,294,102,68,13,476,656,334,250,72,0.58,0.69,0.84,1.45,7.25,0.09,26.67,4.45,22,1.84,0.29,309.15,39,80.71,19,16,3,39.92,61.99,55.01,64.67,3.87,37.5,94.64,24.17,33.83,36.64,58.2,78.86,46.02,63.42,32.29,24.17,6.96,8.12,30.95,15.47,31.87,74.82,18.73,28.42,34.69,6.57,19.12,15.23,"bo"
"Brazil",10,954,25,2,20.62,157,64,65,6170,5617,831,109,250,472,916,500.95,771,644,823,714,104,61,32,6,126,49,64,18,628,165,262,135,25,9,353,738,265,315,158,2.36,1.95,1.21,0.19,14.81,0.13,40.76,6.13,18,3.02,0.57,582.08,63,91.04,18,18,7,72.74,83.53,77.64,86.76,9.81,58.65,78.4,10.28,23.58,44.53,86.42,54.69,33.3,69.62,25,29.72,14.91,11.89,38.89,6.04,28.12,59.25,26.27,24.72,51.53,2.36,36,6.97,"br"
"Chile",10,939,14,16,18.83,133,46,52,5204,4553,900,150,294,456,647,474.63,587,443,843,681,61,24,21,8,161,62,99,41,713,164,379,182,104,27,402,712,291,295,126,1.34,1.8,0.74,1.53,12.75,0.14,34.59,4.98,17,2.01,0.77,498.79,57,87.49,20,18,5,56.26,75.47,80.8,80.78,5.85,39.34,86.26,14.38,28.18,43.71,62.01,73.36,38.53,68.24,27.89,28.27,12.08,15.43,38.51,9.49,41.41,68.34,23,36.33,48.02,9.97,25.96,7.39,"cl"
"Colombia",8,760,17,6,13.92,121,47,46,4104,3572,728,115,262,351,608,409.44,517,418,691,566,88,45,13,7,141,46,65,25,528,125,253,121,47,10,295,588,221,258,109,2.01,1.65,1.22,0.71,14.33,0.12,38.84,5.45,18,1.54,0.83,486,60,87.04,20,17,5,61.22,80.85,81.83,81.91,10.42,51.14,86.21,13.62,31.03,41.57,72,67.34,34.93,69.63,26.17,30.55,12.91,16.7,32.62,7.7,38.46,62.53,23.67,29.96,47.83,5.57,21.28,7.39,"co"
"Ecuador",9,853,12,7,10.29,83,30,32,4865,4339,778,120,304,354,587,435.59,497,361,662,532,49,24,16,5,91,33,56,23,619,160,294,137,40,14,297,626,253,282,91,1.27,1.09,1.17,0.74,8.76,0.12,36.14,3.38,18,1.69,0.53,513.31,54,89.19,19,18,6,52.44,72.64,69.85,80.36,5.17,48.98,82.09,12.66,32.08,37.35,61.93,74.21,31.34,66.05,26.69,29.75,9.6,9.6,36.26,5.91,41.07,65.31,25.85,31.02,46.6,4.22,35,10.8,"ec"
"Japan",14,1334,24,11,23.09,203,77,76,7005,6065,1433,207,450,776,1052,726.35,938,721,1187,986,106,42,33,15,230,74,109,32,947,209,621,308,59,21,593,1182,444,503,235,1.62,1.56,1.04,0.74,13.7,0.11,37.93,5.13,18,2.23,1.01,472.6,58,86.58,19,18,5,63.28,76.87,80.08,83.07,7.15,39.62,96.68,13.97,30.36,52.35,70.97,69.04,40.01,79.75,29.96,33.94,15.85,15.52,32.17,7.35,29.36,63.89,22.07,41.9,49.6,3.98,35.59,7.33,"jp"
"Paraguay",6,570,8,11,7.6,67,23,26,2572,2133,582,80,228,274,405,336.06,321,224,457,347,35,18,20,1,84,22,59,24,439,82,204,101,52,16,263,430,168,190,72,1.26,1.2,1.05,1.74,10.58,0.11,34.33,4.11,18,3.16,0.16,406.11,53,82.93,21,17,4,50.68,69.78,72.16,75.93,5.53,51.43,91.89,12.63,36,43.26,63.95,82.98,41.53,67.89,26.53,30,11.37,13.26,26.19,9.32,40.68,69.32,18.68,32.21,49.51,8.21,30.77,7.48,"py"
"Peru",10,949,10,15,11.41,112,42,46,4667,4047,887,129,348,410,816,457.62,516,389,691,524,61,16,27,9,116,40,85,37,656,156,289,102,66,16,361,720,289,308,123,0.95,1.08,0.88,1.42,10.62,0.1,37.5,4.36,20,2.56,0.85,442.6,51,86.72,18,17,4,48.94,75.39,65.53,75.83,5.79,26.23,84.12,12.23,33,38.88,77.39,56.08,34.24,68.28,27.41,29.21,11.66,11,34.48,8.06,43.53,62.21,23.78,27.41,35.29,6.26,24.24,10.8,"pe"
"Qatar",14,1333,30,10,18.42,134,52,66,6225,5268,1314,322,509,483,807,653.14,698,483,1054,751,102,42,61,16,113,33,139,40,923,215,485,213,93,30,636,1016,554,361,101,2.03,1.24,1.64,0.68,9.05,0.14,38.81,4.46,22,4.12,1.08,420.29,50,84.63,20,16,4,47.13,69.2,71.16,71.25,6.89,41.18,88.72,21.74,34.37,32.61,54.49,80.93,42.94,68.6,37.4,24.37,6.82,7.63,29.2,9.38,28.78,62.32,23.29,32.75,43.92,6.28,32.26,16.47,"qa"
"Uruguay",8,747,18,9,11.32,97,45,40,3424,2873,809,121,295,393,478,398.79,427,287,566,445,51,19,27,9,116,43,70,32,648,139,317,158,35,9,321,636,235,295,106,2.17,1.36,1.6,1.08,11.69,0.12,46.39,4.82,18,3.25,1.08,412.53,47,83.91,19,17,5,51.45,67.21,68.19,78.62,6.14,37.25,97.47,14.58,35.54,47.35,57.59,83.43,38.67,76.63,28.31,35.54,12.77,13.98,37.07,8.43,45.71,78.07,21.45,38.19,49.84,4.22,25.71,9.12,"uy"
"Venezuela",10,943,16,15,11.3,88,34,51,3192,2616,931,203,376,352,744,533.39,406,264,555,415,32,8,51,10,91,28,128,47,649,133,373,169,34,11,423,683,293,308,82,1.53,1.08,1.42,1.43,8.4,0.13,38.64,4.87,20,4.87,0.95,304.64,41,81.95,20,16,3,38.75,65.02,52.97,74.77,3.05,25,88.85,19.37,35.89,33.59,71.01,71.69,40.37,65.19,27.96,29.4,7.83,8.69,30.77,12.22,36.72,61.94,20.49,35.6,45.31,3.24,32.35,14.48,"ve"
